sepalLength	sepalWidth	petalLength	petalWidth	species
1.1	1.5	1.4	0.2	setosa
2.9	1.3	1.4	0.2	setosa
2.7	1.2	1.3	0.2	setosa
2.6	1.1	1.5	0.2	setosa
2.0	1.6	1.4	0.2	setosa
1.4	1.9	1.7	0.4	setosa
1.6	1.4	1.4	0.3	setosa
1.0	1.4	1.5	0.2	setosa
1.4	1.9	1.4	0.2	setosa
1.9	1.1	1.5	0.1	setosa
1.4	1.7	2.5	0.2	setosa
1.8	1.4	2.6	0.2	setosa
1.8	1.1	3.4	0.1	setosa
1.3	1.2	3.1	0.1	setosa
1.8	1.3	3.2	0.2	setosa
1.7	1.4	2.5	0.4	setosa
1.4	1.9	2.3	0.4	setosa
1.1	1.5	2.4	0.3	setosa
1.7	1.8	4.7	0.3	setosa
1.1	1.8	4.5	0.3	setosa
1.4	1.4	4.7	0.2	setosa
1.1	1.7	1.5	0.4	setosa
1.6	1.6	1.0	0.2	setosa
1.1	1.3	1.7	0.5	setosa
1.8	1.4	1.9	0.2	setosa
1.0	1.3	1.6	0.2	setosa
1.0	1.4	1.6	0.4	setosa
1.2	1.5	1.5	0.2	setosa
1.2	1.4	1.4	0.2	setosa
3.7	1.2	1.6	0.2	setosa
3.8	1.1	1.6	0.2	setosa
3.4	1.4	1.5	0.4	setosa
3.2	1.1	1.5	0.1	setosa
3.5	1.2	1.4	0.2	setosa
3.9	1.1	1.5	0.2	setosa
3.0	1.2	1.2	0.2	setosa
3.5	1.5	1.3	0.2	setosa
3.9	1.6	1.4	0.1	setosa
3.4	1.4	1.3	0.2	setosa
3.1	1.4	1.5	0.2	setosa
3.0	1.5	1.3	0.3	setosa
3.5	1.3	1.3	0.3	setosa
3.4	1.2	1.3	0.2	setosa
3.0	1.5	1.6	0.6	setosa
3.1	1.8	1.9	0.4	setosa
1.8	1.8	1.4	0.3	setosa
1.1	1.8	1.6	0.2	setosa
1.6	1.2	1.4	0.2	setosa
1.3	1.7	1.5	0.2	setosa
1.0	1.3	1.4	0.2	setosa
1.0	1.2	4.7	1.4	versicolor
1.4	1.2	4.5	1.5	versicolor
1.9	1.1	4.9	1.5	versicolor
1.5	1.3	4.0	1.3	versicolor
1.5	1.8	4.6	1.5	versicolor
1.7	1.8	4.5	1.3	versicolor
1.3	1.3	4.7	1.6	versicolor
2.9	1.4	3.3	1.0	versicolor
2.6	1.9	4.6	1.3	versicolor
